State,Population Density,Per Capita IPC Crimes,Sex Ratio,houseolds Availing bank services,Minority Population,Per Capita Schools,Rural Population,Total Police Per Lakh Pop,Per Capita Jails,Literacy Rate,Per Capita Income,Poverty Line,Murder,Rape,Robbery,Kidnapping,Riots,,Murder,Rape,Robbery,Kidnapping,Riots,Murder,Rape,Robbery,Kidnapping,Riots
Uttarakhand,754,0.00086727,963,80.7,0.1703,0.00225,0.6994505,160,0.000001087,7152,94713,11.28,0.593355622,0.676417361,0.432236038,1.576511205,0.462757703,,197,228,138,1032,334,"33,201",33707,31927,65461,72176
West Bengal,1029,0.0015676,947,4133,0.2946,0.00067,0.6810641,66,0.000000602,6664,32228,19.96,6.819071715,4.99896164,2.026497948,6.985838896,8.509753935,,2264,1685,647,4573,6142,"33,201",33707,31927,65461,72176
A & N Island,46,0.00108715,873,89.1,0.3055,0.00099,0.6930815,790,0.000010528,813,84992,20,0.018071745,0.080102056,0.003132145,0.02138678,0,,6,27,1,14,0,"33,201",33707,31927,65461,72176
Chandigarh,9251,0.00335515,813,80.1,0.1922,0.00017,0.0275001,542,0.000000948,81.94,99487,71.111,0.066263064,0.133503427,0.194193003,0.398710683,0.074817114,,22,45,62,261,54,"33,201",33707,31927,65461,72176
D&N Haveli,698,0.00108501,775,5533,0.0607,0.00095,0.5333265,100,0.000002917,6353,76890,19.31,0.009035872,0.014833714,0,0.019859153,0.009698515,,3,5,0,13,7,"33,201",33707,31927,65461,72176
Daman & Diu,2169,0.00092115,518,65.4,0.095,0.00054,0.1483667,130,0.000008233,78.18,98067,986,0.027107617,0.023733943,0.003132145,0.019859153,0.015240523,,9,8,1,13,11,"33,201",33707,31927,65461,72176
Delhi,15297,0.00318464,156,77.7,0.1332,0.0003,0.0150291,448,0.000062084,1.67,99786,9.91,1.557182013,4.853591242,3.899520782,9.614885199,0.156561738,,517,1636,1245,6294,113,"33,201",33707,31927,65461,72176
Lakshwadeep,2013,0.00066192,946,85.1,0.9711,0.00075,0.2191715,308,0.000003214,116.56,56789,2.77,0,0.005933486,0,0,0.002771004,,0,2,0,0,2,"33,201",33707,31927,65461,72176
Punducherry,2598,9.003505113,1036,54,0.127,0.00057,0.3154762,263,0.000000597,31.24,29333,9.69,0.093370682,0.050434628,0.031321452,0.062632713,0.117767679,,31,17,10,41,85,"33,201",33707,31927,65461,72176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
